City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
302,Lata,PT,40.1629,-8.3327,60.82,81,100,1.81,overcast clouds
303,Ibra,OM,22.6906,58.5334,73.78,83,28,1.3,scattered clouds
304,Berlevag,NO,70.8578,29.0864,40.95,81,100,8.05,overcast clouds
305,Norway,US,45.7869,-87.9037,54.23,80,0,0.0,clear sky
306,Tezu,IN,27.9167,96.1667,84.02,55,82,1.59,broken clouds
307,Divnomorskoye,RU,44.5011,38.1353,67.8,66,0,3.65,clear sky
308,Salvador,SV,13.8333,-88.9167,72.0,95,100,0.65,overcast clouds
309,Milkovo,RU,54.7167,158.6167,50.99,47,40,4.21,scattered clouds
310,Los Llanos De Aridane,ES,28.6585,-17.9182,67.75,85,75,10.36,broken clouds
311,Kishtwar,IN,33.3167,75.7667,60.33,66,0,2.82,clear sky
312,Colmenar Viejo,ES,40.6591,-3.7676,52.18,69,24,1.77,few clouds
313,Morondava,MG,-20.2833,44.2833,69.73,83,0,4.23,clear sky
314,Pangnirtung,CA,66.1451,-65.7125,33.53,63,99,2.89,overcast clouds
315,Klaksvik,FO,62.2266,-6.589,50.92,93,100,22.24,light rain
316,Wagar,SD,16.1525,36.2032,82.38,58,3,14.41,clear sky
317,Cervo,ES,43.6702,-7.4101,59.47,81,100,9.89,overcast clouds
318,Isangel,VU,-19.55,169.2667,86.11,74,40,9.22,scattered clouds
319,Taltal,CL,-25.4,-70.4833,57.99,80,28,4.03,scattered clouds
320,Broome,US,42.2506,-75.833,52.86,80,0,5.75,clear sky
321,Diego De Almagro,CL,-26.3667,-70.05,57.94,38,0,0.89,clear sky
322,Fairbanks,US,64.8378,-147.7164,55.4,60,100,3.44,overcast clouds
323,Verkhoyansk,RU,67.5447,133.385,26.11,85,100,2.77,overcast clouds
324,La Ronge,CA,55.1001,-105.2842,48.45,87,100,8.05,overcast clouds
325,Ilulissat,GL,69.2167,-51.1,32.02,93,75,2.3,broken clouds
326,Hamilton,US,39.1834,-84.5333,61.81,58,0,1.99,clear sky
327,Padang,ID,-0.9492,100.3543,75.25,83,97,4.43,overcast clouds
328,Molochnoye,RU,59.2917,39.6787,42.33,96,56,5.79,broken clouds
329,Allapalli,IN,19.4167,80.0667,75.79,88,84,3.36,broken clouds
330,Kavaratti,IN,10.5669,72.642,81.16,76,100,10.56,overcast clouds
331,Havelock,US,34.8791,-76.9013,78.75,88,56,8.01,broken clouds
332,La Paz,BO,-16.5,-68.15,46.38,33,13,12.66,few clouds
333,Agadez,NE,19.75,10.25,86.85,32,6,7.02,clear sky
334,Roald,NO,62.5833,6.1333,59.92,44,75,16.11,broken clouds
335,Mosquera,CO,4.7059,-74.2302,53.69,94,100,4.61,light intensity drizzle
336,Red Bluff,US,40.1785,-122.2358,93.88,13,0,5.75,clear sky
337,Bethel,US,41.3712,-73.414,57.56,85,0,0.0,clear sky
338,Wajima,JP,37.4,136.9,77.68,73,20,2.3,few clouds
339,Vinh,VN,18.6667,105.6667,80.69,86,98,4.72,heavy intensity rain
340,Lavrentiya,RU,65.5833,-171.0,38.91,65,95,16.73,overcast clouds
341,Kigoma,TZ,-4.8769,29.6267,75.97,63,24,4.61,few clouds
342,Narsaq,GL,60.9167,-46.05,39.42,97,100,12.95,light rain
343,Ust-Uda,RU,54.1742,103.0304,33.13,73,96,12.68,overcast clouds
344,Paso De Carrasco,UY,-34.8603,-56.0522,58.95,82,0,6.91,clear sky
